,Site,Crop,Experiment,Treatment ,Mineral N kg/ha/y,farmyard manure t/ha/year,Reported yield data (t DM/ha),Mean,min_yield,max_yield,Soil texture,LAT,SIMUID_1,Sand,Silt,Clay,variable,Yield
281,Staňkov,WWHT,AZP,FYM.,0.0,10.0,grain,5.410213174129352,3.1304,7.3014,loam,49.55,23179.0,40.0,40.0,20.0,2000,5.8824
283,Staňkov,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,6.37960031840796,5.418,7.0612015920398,loam,49.55,23179.0,40.0,40.0,20.0,2000,6.5188
285,Hradec n. Svit.,WWHT,AZP,0,0.0,0.0,grain,4.465991794871795,3.1648,5.680358974358976,loam,49.73,26472.0,40.0,40.0,20.0,2000,4.6784
288,Hradec n. Svit.,WWHT,AZP,FYM.,0.0,10.0,grain,4.3791837037037045,2.7520000000000002,5.263518518518519,loam,49.73,26472.0,40.0,40.0,20.0,2000,4.566599999999999
291,Hradec n. Svit.,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,6.964573048433048,4.9536,8.188665242165243,loam,49.73,26472.0,40.0,40.0,20.0,2000,7.0348
294,Uherský Ostroh,WWHT,AZP,0,0.0,0.0,grain,5.220667222222223,3.9044,7.140336111111112,loam,48.99,28781.0,40.0,40.0,20.0,2000,3.9044
295,Uherský Ostroh,WWHT,AZP,FYM.,0.0,10.0,grain,5.641732083333333,4.0935999999999995,7.654660416666669,loam,48.99,28781.0,40.0,40.0,20.0,2000,4.0935999999999995
296,Uherský Ostroh,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,5.6770933333333335,3.3970000000000002,8.519466666666666,loam,48.99,28781.0,40.0,40.0,20.0,2000,3.3970000000000002
297,Věrovany,WWHT,AZP,0,0.0,0.0,grain,6.222639550561797,3.9388,8.5828,loam,49.47,28776.0,40.0,40.0,20.0,2000,5.4868
299,Věrovany,WWHT,AZP,FYM.,0.0,10.0,grain,6.39558861423221,4.1624,8.9268,loam,49.47,28776.0,40.0,40.0,20.0,2000,5.6588
301,Věrovany,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,5.785616779026217,3.0873999999999997,8.617199999999999,loam,49.47,28776.0,40.0,40.0,20.0,2000,5.0826
303,Vysoká,WWHT,AZP,0,0.0,0.0,grain,4.040152592592593,2.6401999999999997,5.2116,loam,49.64,21991.0,40.0,40.0,20.0,2000,4.9966
305,Vysoká,WWHT,AZP,FYM.,0.0,10.0,grain,4.166382222222222,2.9583999999999997,5.4782,loam,49.64,21991.0,40.0,40.0,20.0,2000,4.8073999999999995
307,Vysoká,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,5.995284444444445,3.8871999999999995,7.052,loam,49.64,21991.0,40.0,40.0,20.0,2000,6.785399999999999
309,Žatec,WWHT,AZP,0,0.0,0.0,grain,6.120422876480541,4.7386,7.3271999999999995,clay loam,50.3,24818.0,35.0,30.0,35.0,2000,4.7386
310,Žatec,WWHT,AZP,FYM.,0.0,10.0,grain,6.301570964467006,4.6956,7.7314,clay loam,50.3,24818.0,35.0,30.0,35.0,2000,4.6956
311,Žatec,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,6.304681121263394,4.51758,7.636800000000001,clay loam,50.3,24818.0,35.0,30.0,35.0,2000,4.51758
312,Horažďovice,WWHT,AZP,0,0.0,0.0,straw ,5.3860079999999995,3.2335999999999996,7.275600000000001,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,3.2335999999999996
314,Horažďovice,WWHT,AZP,FYM.,0.0,10.0,straw ,6.094992,4.5494,7.813960000000002,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,4.5494
316,Horažďovice,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,8.968267636363636,5.916799999999999,12.358199999999998,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,5.916799999999999
318,Chrastava,WWHT,AZP,0,0.0,0.0,straw ,3.520541454545455,2.59,4.1452,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,2.59
320,Chrastava,WWHT,AZP,FYM.,0.0,10.0,straw ,4.156432,3.0702,5.0052,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,3.19
322,Chrastava,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,5.739801818181818,4.497409090909091,6.9316,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,5.23
324,Jaroměřice,WWHT,AZP,0,0.0,0.0,straw ,4.9554138181818175,3.225,6.949269090909091,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,3.225
327,Jaroměřice,WWHT,AZP,FYM.,0.0,10.0,straw ,5.13334,3.1734,7.4948999999999995,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,3.1734
330,Jaroměřice,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,6.626409454545455,5.289000000000001,8.802647272727274,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,5.9082
333,Krásné Údolí,WWHT,AZP,0,0.0,0.0,straw ,2.6625,1.2728,3.7496,,,,,,,2000,2.48
334,Krásné Údolí,WWHT,AZP,FYM.,0.0,10.0,straw ,3.6424000000000003,1.6512,5.1428,,,,,,,2000,4.37
335,Krásné Údolí,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,5.13715,3.3798,6.78,,,,,,,2000,6.78
336,Libějovice,WWHT,AZP,0,0.0,0.0,straw ,3.5797333333333334,2.1929999999999996,4.96,,,,,,,2000,4.96
337,Libějovice,WWHT,AZP,FYM.,0.0,10.0,straw ,3.624133333333333,2.3478,4.99,,,,,,,2000,4.99
338,Libějovice,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,3.8030666666666666,2.967,5.2,,,,,,,2000,5.2
339,Lípa,WWHT,AZP,0,0.0,0.0,straw ,3.7641895763921935,1.9694,4.571947881960971,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,3.8
342,Lípa,WWHT,AZP,FYM.,0.0,10.0,straw ,3.9952252260828174,2.3048,5.885126130414088,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,3.04
345,Lípa,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,6.153790078798456,3.6894,8.631950393992279,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,5.41
348,Pusté Jakartice,WWHT,AZP,0,0.0,0.0,straw ,4.434993939393939,2.3478,7.335799999999999,loam,49.98,29745.0,40.0,40.0,20.0,2000,3.6291999999999995
350,Pusté Jakartice,WWHT,AZP,FYM.,0.0,10.0,straw ,4.483536161616161,2.2188,6.628080808080807,loam,49.98,29745.0,40.0,40.0,20.0,2000,4.781599999999999
352,Pusté Jakartice,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,6.143666262626263,4.257,7.774399999999999,loam,49.98,29745.0,40.0,40.0,20.0,2000,5.3492
354,Sedlec,WWHT,AZP,0,0.0,0.0,straw ,4.1968,3.5088,5.2116,,,,,,,2000,3.5088
355,Sedlec,WWHT,AZP,FYM.,0.0,10.0,straw ,4.3,3.5518,5.4438,,,,,,,2000,3.5518
356,Sedlec,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,4.5408,3.6034,5.6158,,,,,,,2000,3.6034
357,Staňkov,WWHT,AZP,0,0.0,0.0,straw ,6.398933134328358,1.9264000000000001,14.3534,loam,49.55,23179.0,40.0,40.0,20.0,2000,4.54
359,Staňkov,WWHT,AZP,FYM.,0.0,10.0,straw ,6.743328955223879,2.4423999999999997,13.828799999999998,loam,49.55,23179.0,40.0,40.0,20.0,2000,4.71
361,Staňkov,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,7.8295349253731334,4.9536,14.2072,loam,49.55,23179.0,40.0,40.0,20.0,2000,6.16
363,Hradec n. Svit.,WWHT,AZP,0,0.0,0.0,straw ,3.07102851010101,1.2126,5.61994255050505,loam,49.73,26472.0,40.0,40.0,20.0,2000,2.236
366,Hradec n. Svit.,WWHT,AZP,FYM.,0.0,10.0,straw ,3.0601188053613053,1.9694,4.4376,loam,49.73,26472.0,40.0,40.0,20.0,2000,2.4423999999999997
369,Hradec n. Svit.,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,5.8807875,3.526,8.935937500000001,loam,49.73,26472.0,40.0,40.0,20.0,2000,3.526
372,Uherský Ostroh,WWHT,AZP,0,0.0,0.0,straw ,5.753079535984848,3.7238,9.503,loam,48.99,28781.0,40.0,40.0,20.0,2000,4.4806
373,Uherský Ostroh,WWHT,AZP,FYM.,0.0,10.0,straw ,6.320898200757576,3.6894,10.0276,loam,48.99,28781.0,40.0,40.0,20.0,2000,3.6894
374,Uherský Ostroh,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,7.171946871212121,3.65758,13.0978,loam,48.99,28781.0,40.0,40.0,20.0,2000,3.65758
375,Věrovany,WWHT,AZP,0,0.0,0.0,straw ,5.263325901713768,2.3735999999999997,6.8160295085688345,loam,49.47,28776.0,40.0,40.0,20.0,2000,4.27
377,Věrovany,WWHT,AZP,FYM.,0.0,10.0,straw ,6.341864896152537,2.5026,8.987,loam,49.47,28776.0,40.0,40.0,20.0,2000,5.42
379,Věrovany,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,7.455006251276812,3.5690000000000004,10.2942,loam,49.47,28776.0,40.0,40.0,20.0,2000,6.76
381,Vysoká,WWHT,AZP,0,0.0,0.0,straw ,2.9474456565656566,1.9092000000000002,3.8958000000000004,loam,49.64,21991.0,40.0,40.0,20.0,2000,3.31
383,Vysoká,WWHT,AZP,FYM.,0.0,10.0,straw ,2.843207515151515,2.0296,3.5002,loam,49.64,21991.0,40.0,40.0,20.0,2000,2.97
385,Vysoká,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,4.711115515151515,3.8614,5.31,loam,49.64,21991.0,40.0,40.0,20.0,2000,5.31
387,Žatec,WWHT,AZP,0,0.0,0.0,straw ,2.9652254323383653,1.1607271616918255,5.2459999999999996,clay loam,50.3,24818.0,35.0,30.0,35.0,2000,3.2851999999999997
388,Žatec,WWHT,AZP,FYM.,0.0,10.0,straw ,3.2004080037062943,1.287440018531471,5.4352,clay loam,50.3,24818.0,35.0,30.0,35.0,2000,3.4055999999999997
389,Žatec,WWHT,AZP,N3P3K3+FYM,60.0,10.0,straw ,3.786889291548262,2.61164645774131,5.7620000000000005,clay loam,50.3,24818.0,35.0,30.0,35.0,2000,3.8528000000000002
390,Horažďovice,BARL,Nstac,0,0.0,0.0,grain,2.02788,1.0836,4.2656,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,1.6512
392,Horažďovice,BARL,Nstac,N,90.0,0.0,grain,3.4761200000000003,1.9264000000000001,6.9918000000000005,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,2.709
394,Horažďovice,BARL,Nstac,FYM. + N,90.0,10.0,grain,3.61888,2.021,7.1293999999999995,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,2.7520000000000002
396,Chrastava,BARL,Nstac,0,0.0,0.0,grain,2.2256799999999997,1.2126,3.698,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,1.5308
398,Chrastava,BARL,Nstac,N,90.0,0.0,grain,4.231199999999999,2.1757999999999997,6.7596,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,3.913
400,Chrastava,BARL,Nstac,FYM. + N,90.0,10.0,grain,4.83664,2.5714,6.5532,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,4.9192
402,Jaroměřice,BARL,Nstac,0,0.0,0.0,grain,4.87405,3.7840000000000003,6.364,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,3.7840000000000003
405,Jaroměřice,BARL,Nstac,N,90.0,0.0,grain,6.2479,5.0138,7.559399999999999,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,5.0138
408,Jaroměřice,BARL,Nstac,FYM. + N,90.0,10.0,grain,6.21565,5.1514,7.3271999999999995,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,5.1514
411,Libějovice,BARL,Nstac,0,0.0,0.0,grain,2.6316,2.3478,2.9842,,,,,,,2000,2.3478
412,Libějovice,BARL,Nstac,N,90.0,0.0,grain,5.2116,3.7668,7.5249999999999995,,,,,,,2000,3.7668
413,Libějovice,BARL,Nstac,FYM. + N,90.0,10.0,grain,5.627266666666667,3.9646000000000003,8.3678,,,,,,,2000,3.9646000000000003
414,Lípa,BARL,Nstac,0,0.0,0.0,grain,2.4553000000000003,1.2728,3.01,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,2.8207999999999998
417,Lípa,BARL,Nstac,N,90.0,0.0,grain,5.2395499999999995,4.1366,6.5102,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,5.2976
420,Lípa,BARL,Nstac,FYM. + N,90.0,10.0,grain,5.592149999999999,4.9106,6.622,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,5.5126
423,Pusté Jakartice,BARL,Nstac,0,0.0,0.0,grain,3.5109500000000002,2.1242,4.2914,loam,49.98,29745.0,40.0,40.0,20.0,2000,4.2914
425,Pusté Jakartice,BARL,Nstac,N,90.0,0.0,grain,5.90605,4.2226,7.955,loam,49.98,29745.0,40.0,40.0,20.0,2000,4.9879999999999995
427,Pusté Jakartice,BARL,Nstac,FYM. + N,90.0,10.0,grain,5.87595,4.0506,8.0926,loam,49.98,29745.0,40.0,40.0,20.0,2000,5.202999999999999
429,Staňkov,BARL,Nstac,0,0.0,0.0,grain,2.9618399999999996,1.6512,3.8011999999999997,loam,49.55,23179.0,40.0,40.0,20.0,2000,2.451
431,Staňkov,BARL,Nstac,N,90.0,0.0,grain,4.3068800000000005,2.4166,6.2092,loam,49.55,23179.0,40.0,40.0,20.0,2000,2.4166
433,Staňkov,BARL,Nstac,FYM. + N,90.0,10.0,grain,4.53048,2.6058,5.9597999999999995,loam,49.55,23179.0,40.0,40.0,20.0,2000,2.6058
435,Hradec n. Svit.,BARL,Nstac,0,0.0,0.0,grain,2.3219999999999996,1.1352,3.5432,loam,49.73,26472.0,40.0,40.0,20.0,2000,2.1414
438,Hradec n. Svit.,BARL,Nstac,N,90.0,0.0,grain,4.5064,3.4658,6.0973999999999995,loam,49.73,26472.0,40.0,40.0,20.0,2000,4.1452
441,Hradec n. Svit.,BARL,Nstac,FYM. + N,90.0,10.0,grain,5.196119999999999,4.308599999999999,6.5532,loam,49.73,26472.0,40.0,40.0,20.0,2000,4.6268
444,Uherský Ostroh,BARL,Nstac,0,0.0,0.0,grain,3.5216999999999996,2.5885999999999996,4.4548,loam,48.99,28781.0,40.0,40.0,20.0,2000,2.5885999999999996
445,Uherský Ostroh,BARL,Nstac,N,90.0,0.0,grain,4.644,3.5002,5.7878,loam,48.99,28781.0,40.0,40.0,20.0,2000,3.5002
446,Uherský Ostroh,BARL,Nstac,FYM. + N,90.0,10.0,grain,4.4719999999999995,3.5346,5.4094,loam,48.99,28781.0,40.0,40.0,20.0,2000,3.5346
447,Věrovany,BARL,Nstac,0,0.0,0.0,grain,5.074,2.8466,7.198199999999999,loam,49.47,28776.0,40.0,40.0,20.0,2000,4.085
449,Věrovany,BARL,Nstac,N,90.0,0.0,grain,5.951199999999999,3.8097999999999996,8.5312,loam,49.47,28776.0,40.0,40.0,20.0,2000,4.3515999999999995
451,Věrovany,BARL,Nstac,FYM. + N,90.0,10.0,grain,5.9512,4.3688,7.6884,loam,49.47,28776.0,40.0,40.0,20.0,2000,4.558
453,Vysoká,BARL,Nstac,0,0.0,0.0,grain,2.02788,1.0836,4.2656,loam,49.64,21991.0,40.0,40.0,20.0,2000,1.6512
455,Vysoká,BARL,Nstac,N,90.0,0.0,grain,3.4761200000000003,1.9264000000000001,6.9918000000000005,loam,49.64,21991.0,40.0,40.0,20.0,2000,2.709
457,Vysoká,BARL,Nstac,FYM. + N,90.0,10.0,grain,3.61888,2.021,7.1293999999999995,loam,49.64,21991.0,40.0,40.0,20.0,2000,2.7520000000000002
459,Žatec,BARL,Nstac,0,0.0,0.0,grain,4.13445,2.4423999999999997,5.0998,clay loam,50.3,24818.0,35.0,30.0,35.0,2000,2.4423999999999997
460,Žatec,BARL,Nstac,N,90.0,0.0,grain,5.2288,2.8982,7.696999999999999,clay loam,50.3,24818.0,35.0,30.0,35.0,2000,2.8982
461,Žatec,BARL,Nstac,FYM. + N,90.0,10.0,grain,5.35995,3.1734,7.5680000000000005,clay loam,50.3,24818.0,35.0,30.0,35.0,2000,3.1734
462,Horažďovice,BARL,Nstac,0,0.0,0.0,straw ,2.2703999999999995,1.333,3.7323999999999997,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,1.333
464,Horažďovice,BARL,Nstac,N,90.0,0.0,straw ,4.43545,2.709,7.8002,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,2.709
466,Horažďovice,BARL,Nstac,FYM. + N,90.0,10.0,straw ,5.5126,2.7864,10.32,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,3.3798
468,Chrastava,BARL,Nstac,0,0.0,0.0,straw ,1.71484,0.8858,2.6574,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,1.075
470,Chrastava,BARL,Nstac,N,90.0,0.0,straw ,3.22156,1.5824,4.7299999999999995,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,2.7434
472,Chrastava,BARL,Nstac,FYM. + N,90.0,10.0,straw ,3.66016,1.9005999999999998,4.5838,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,3.44
474,Jaroměřice,BARL,Nstac,0,0.0,0.0,straw ,4.2054,2.6488,6.312399999999999,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,3.4055999999999997
477,Jaroměřice,BARL,Nstac,N,90.0,0.0,straw ,5.59215,4.0334,7.757199999999999,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,5.289000000000001
480,Jaroměřice,BARL,Nstac,FYM. + N,90.0,10.0,straw ,5.652349999999999,4.2398,7.8431999999999995,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,5.4008
483,Libějovice,BARL,Nstac,0,0.0,0.0,straw ,1.591,1.3760000000000001,1.7544,,,,,,,2000,1.6425999999999998
484,Libějovice,BARL,Nstac,N,90.0,0.0,straw ,3.2106666666666666,2.6401999999999997,4.343,,,,,,,2000,2.6401999999999997
485,Libějovice,BARL,Nstac,FYM. + N,90.0,10.0,straw ,4.285666666666667,2.7778,5.6932,,,,,,,2000,2.7778
486,Lípa,BARL,Nstac,0,0.0,0.0,straw ,1.6125,0.7568,2.1242,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,1.9779999999999998
489,Lípa,BARL,Nstac,N,90.0,0.0,straw ,4.087149999999999,2.1757999999999997,5.2976,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,3.7065999999999995
492,Lípa,BARL,Nstac,FYM. + N,90.0,10.0,straw ,3.98395,2.2704,5.031,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,3.8614
495,Pusté Jakartice,BARL,Nstac,0,0.0,0.0,straw ,2.3585499999999997,1.2813999999999999,4.1194,loam,49.98,29745.0,40.0,40.0,20.0,2000,2.5714
497,Pusté Jakartice,BARL,Nstac,N,90.0,0.0,straw ,3.54535,1.1696,7.8174,loam,49.98,29745.0,40.0,40.0,20.0,2000,2.9928
499,Pusté Jakartice,BARL,Nstac,FYM. + N,90.0,10.0,straw ,3.5044999999999997,2.1929999999999996,6.2608,loam,49.98,29745.0,40.0,40.0,20.0,2000,3.1218
501,Staňkov,BARL,Nstac,0,0.0,0.0,straw ,3.2181200000000003,1.72,4.7902000000000005,loam,49.55,23179.0,40.0,40.0,20.0,2000,1.72
503,Staňkov,BARL,Nstac,N,90.0,0.0,straw ,4.435879999999999,1.6942,7.0004,loam,49.55,23179.0,40.0,40.0,20.0,2000,1.6942
505,Staňkov,BARL,Nstac,FYM. + N,90.0,10.0,straw ,5.27868,1.8232000000000002,9.2966,loam,49.55,23179.0,40.0,40.0,20.0,2000,1.8232000000000002
507,Hradec n. Svit.,BARL,Nstac,0,0.0,0.0,straw ,2.09152,1.4447999999999999,3.0357999999999996,loam,49.73,26472.0,40.0,40.0,20.0,2000,1.5652
510,Hradec n. Svit.,BARL,Nstac,N,90.0,0.0,straw ,4.1090800000000005,2.58,6.4155999999999995,loam,49.73,26472.0,40.0,40.0,20.0,2000,2.58
513,Hradec n. Svit.,BARL,Nstac,FYM. + N,90.0,10.0,straw ,6.0423599999999995,3.053,11.5756,loam,49.73,26472.0,40.0,40.0,20.0,2000,3.053
516,Uherský Ostroh,BARL,Nstac,0,0.0,0.0,straw ,2.8337,1.9951999999999999,3.6721999999999997,loam,48.99,28781.0,40.0,40.0,20.0,2000,1.9951999999999999
517,Uherský Ostroh,BARL,Nstac,N,90.0,0.0,straw ,3.4916,2.4768,4.5064,loam,48.99,28781.0,40.0,40.0,20.0,2000,2.4768
518,Uherský Ostroh,BARL,Nstac,FYM. + N,90.0,10.0,straw ,3.2249999999999996,2.7176,3.7323999999999997,loam,48.99,28781.0,40.0,40.0,20.0,2000,2.7176
519,Věrovany,BARL,Nstac,0,0.0,0.0,straw ,3.5947999999999998,2.1757999999999997,4.575200000000001,loam,49.47,28776.0,40.0,40.0,20.0,2000,2.1757999999999997
521,Věrovany,BARL,Nstac,N,90.0,0.0,straw ,3.97105,2.236,5.8824,loam,49.47,28776.0,40.0,40.0,20.0,2000,2.236
